threads,rep,elapsed_s,comp_max_s,comp_avg_s,comm_max_s,comm_avg_s
1,1,112.647330,112.397100,112.397100,0.250102,0.250102
1,2,106.403535,106.187203,106.187203,0.216213,0.216213
2,1,58.426416,58.216182,58.216182,0.210092,0.210092
2,2,59.536196,59.319189,59.319189,0.216879,0.216879
4,1,47.778215,47.574092,47.574092,0.203998,0.203998
4,2,47.876366,47.669434,47.669434,0.206824,0.206824
8,1,47.022762,46.752487,46.752487,0.270168,0.270168
8,2,46.913877,46.644048,46.644048,0.269720,0.269720
16,1,40.896536,40.596333,40.596333,0.300101,0.300101
16,2,40.867041,40.572672,40.572672,0.294257,0.294257
32,1,20.696743,20.372867,20.372867,0.323746,0.323746
32,2,20.684225,20.359796,20.359796,0.324317,0.324317
64,1,10.617796,10.261596,10.261596,0.356087,0.356087
64,2,10.608993,10.256975,10.256975,0.351908,0.351908
96,1,7.256537,6.839656,6.839656,0.416788,0.416788
96,2,7.259411,6.844349,6.844349,0.414974,0.414974
128,1,5.602974,5.141241,5.141241,0.461608,0.461608
128,2,5.622111,5.158553,5.158553,0.463455,0.463455